date,match_active,home_candidate_count,home_selected_event,home_selected_entity,home_eligibility_state,away_candidate_count,away_selected_event,away_selected_entity,away_eligibility_state,coverage_category,union_covered,source_provenance
2007-12-08,True,4,2007-12-08|E0|Man United|Derby,Man United,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-12-09,True,1,2007-12-09|SP1|Barcelona|La Coruna,Barcelona,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-12-10,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-12-11,True,1,2007-12-11|SC0|Celtic|Falkirk,Celtic,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-12-12,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-12-13,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-12-14,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-12-15,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-12-16,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-12-17,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-12-18,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-12-19,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-12-20,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-12-21,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-12-22,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-12-23,True,0,,,NO_ELIGIBLE_EVENT,1,2007-12-23|N1|Excelsior|Ajax,Ajax,ELIGIBLE,AWAY_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
